,bill_number,category
0,G0470115,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
1,G0470116,"['BEVERAGE', 'TOBACCO']"
2,G0470117,"['BEVERAGE', 'BEVERAGE']"
3,G0470283,"['BEVERAGE', 'BEVERAGE', 'TOBACCO']"
4,G0470118,"['BEVERAGE', 'BEVERAGE']"
5,G0470284,"['BEVERAGE', 'TOBACCO', 'TOBACCO', 'MISC', 'MISC', 'BEVERAGE']"
6,G0470285,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
7,G0470120,"['BEVERAGE', 'FOOD', 'BEVERAGE']"
8,G0470122,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD']"
9,G0470127,['BEVERAGE']
10,G0470128,"['BEVERAGE', 'FOOD']"
11,G0470133,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD']"
12,G0470139,"['BEVERAGE', 'TOBACCO']"
13,G0470140,"['BEVERAGE', 'FOOD', 'FOOD']"
14,G0470141,"['BEVERAGE', 'BEVERAGE']"
15,G0470142,"['BEVERAGE', 'FOOD']"
16,G0470145,['BEVERAGE']
17,G0470146,['BEVERAGE']
18,G0470148,"['BEVERAGE', 'FOOD']"
19,G0470149,"['BEVERAGE', 'FOOD']"
20,G0470153,"['BEVERAGE', 'FOOD']"
21,G0470154,"['BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO']"
22,G0470156,['BEVERAGE']
23,G0470157,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'FOOD']"
24,G0470159,['BEVERAGE']
25,G0470161,['BEVERAGE']
26,G0470162,['BEVERAGE']
27,G0470163,['BEVERAGE']
28,G0470166,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
29,G0470167,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'TOBACCO']"
30,G0470170,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
31,G0470172,['BEVERAGE']
32,G0470173,"['BEVERAGE', 'FOOD']"
33,G0470176,['BEVERAGE']
34,G0470179,"['BEVERAGE', 'FOOD', 'FOOD']"
35,G0470185,"['BEVERAGE', 'FOOD', 'MISC']"
36,G0470187,"['BEVERAGE', 'FOOD', 'FOOD']"
37,G0470188,"['BEVERAGE', 'TOBACCO']"
38,G0470189,"['BEVERAGE', 'TOBACCO']"
39,G0470193,"['BEVERAGE', 'BEVERAGE']"
40,G0470195,"['BEVERAGE', 'TOBACCO']"
41,G0470197,"['BEVERAGE', 'BEVERAGE', 'TOBACCO']"
42,G0470198,"['BEVERAGE', 'FOOD', 'BEVERAGE']"
43,G0470199,"['BEVERAGE', 'FOOD', 'FOOD', 'BEVERAGE']"
44,G0470205,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'TOBACCO']"
45,G0470207,"['BEVERAGE', 'BEVERAGE']"
46,G0470208,"['BEVERAGE', 'BEVERAGE']"
47,G0470210,"['BEVERAGE', 'FOOD']"
48,G0470212,"['BEVERAGE', 'TOBACCO']"
49,G0470213,"['BEVERAGE', 'TOBACCO']"
50,G0470214,['BEVERAGE']
51,G0470215,['BEVERAGE']
52,G0470217,"['BEVERAGE', 'FOOD', 'TOBACCO']"
53,G0470219,"['BEVERAGE', 'TOBACCO']"
54,G0470220,"['BEVERAGE', 'FOOD']"
55,G0470221,"['BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO']"
56,G0470222,"['BEVERAGE', 'FOOD', 'FOOD']"
57,G0470224,"['BEVERAGE', 'FOOD']"
58,G0470226,"['BEVERAGE', 'TOBACCO']"
59,G0470227,['BEVERAGE']
60,G0470228,"['BEVERAGE', 'BEVERAGE']"
61,G0470229,['BEVERAGE']
62,G0470231,"['BEVERAGE', 'FOOD']"
63,G0470234,"['BEVERAGE', 'FOOD', 'TOBACCO']"
64,G0470235,"['BEVERAGE', 'TOBACCO']"
65,G0470238,"['BEVERAGE', 'FOOD', 'FOOD']"
66,G0470239,"['BEVERAGE', 'BEVERAGE']"
67,G0470240,"['BEVERAGE', 'FOOD', 'FOOD']"
68,G0470243,"['BEVERAGE', 'BEVERAGE']"
69,G0470244,"['BEVERAGE', 'TOBACCO']"
70,G0470246,['BEVERAGE']
71,G0470250,['BEVERAGE']
72,G0470251,"['BEVERAGE', 'BEVERAGE', 'TOBACCO', 'FOOD']"
73,G0470253,"['BEVERAGE', 'FOOD']"
74,G0470256,"['BEVERAGE', 'TOBACCO']"
75,G0470260,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'FOOD']"
76,G0470268,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'BEVERAGE']"
77,G0470269,"['BEVERAGE', 'TOBACCO', 'FOOD']"
78,G0470109,['BEVERAGE']
79,G0470270,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'FOOD']"
80,G0470111,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD']"
81,G0470112,"['BEVERAGE', 'TOBACCO']"
82,G0470274,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'TOBACCO']"
83,G0470275,['BEVERAGE']
84,G0470276,"['BEVERAGE', 'FOOD', 'FOOD']"
85,G0470280,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD']"
86,G0470281,"['BEVERAGE', 'BEVERAGE', 'TOBACCO']"
87,G0470114,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
88,G0470282,"['BEVERAGE', 'TOBACCO']"
89,G0470121,['FOOD']
90,G0470123,"['FOOD', 'FOOD', 'TOBACCO']"
91,G0470125,['FOOD']
92,G0470126,"['FOOD', 'FOOD']"
