EmployeeID,Attrition,Age,TravelProfile,Department,HomeToWork,EducationField,Gender,HourlnWeek,Involvement,WorkLifeBalance,Designation,JobSatisfaction,ESOPs,NumCompaniesWorked,OverTime,SalaryHikelastYear,WorkExperience,LastPromotion,CurrentProfile,MaritalStatus,MonthlyIncome
5110001,0,35,Rarely,Analytics,5,CA,Male,69,1,1,Executive,1,1,1,1,20,7,2,,M,18932
5110002,1,32,Yes,Sales,5,Statistics,Female,62,4,3,Executive,2,0,8,0,20,4,1,,Single,18785
5110003,0,31,Rarely,Analytics,5,Statistics,F,45,5,3,Manager,2,1,3,0,26,12,1,3,Single,22091
5110004,0,34,Yes,Sales,10,Statistics,Female,32,3,2,Manager,4,1,1,0,23,5,1,3,Divorsed,20302
5110005,0,37,No,Analytics,27,Statistics,Female,49,3,4,Manager,4,1,8,0,21,12,1,9,Divorsed,21674
5110006,1,34,Yes,Marketing,24,MBA,F,43,3,4,Senior Manager,5,1,9,1,20,11,0,2,Married,24950
5110007,0,35,Yes,Sales,1,Marketing Diploma,F,62,3,1,Senior Manager,3,1,1,0,19,10,0,8,Single,23789
5110008,1,26,Rarely,Sales,8,Marketing Diploma,Male,48,4,2,Manager,3,1,2,1,17,7,1,4,Single,21744
5110009,0,45,Yes,Analytics,5,CA,Male,58,3,3,Senior Manager,3,0,6,1,24,17,3,3,Single,26209
5110010,1,24,Rarely,Sales,4,Statistics,Female,65,3,3,Manager,3,1,9,0,19,4,2,0,Single,19577
5110011,0,41,No,Analytics,11,CA,Male,57,4,5,Senior Manager,4,1,3,0,17,17,5,9,Married,29757
5110012,0,37,Rarely,Analytics,1,Engineer,F,59,3,4,Senior Manager,2,0,4,0,22,12,1,2,Single,22491
5110013,0,28,Rarely,Analytics,11,Other,Female,59,3,1,Manager,3,0,3,0,18,10,1,7,Single,18660
5110014,0,34,Rarely,Analytics,,Statistics,Male,42,3,3,Executive,2,1,1,0,17,10,8,8,Divorsed,17691
5110015,1,31,Rarely,Sales,21,Statistics,Female,71,5,3,Manager,3,0,3,1,16,4,2,2,Divorsed,19559
5110016,0,46,Rarely,Marketing,6,CA,Male,80,3,2,Manager,4,1,8,1,27,16,0,2,Married,20021
5110017,1,33,Yes,Analytics,30,CA,Female,54,4,2,Manager,3,0,1,0,27,14,3,8,Single,19508
5110018,0,32,Rarely,Analytics,4,CA,Female,63,3,4,Manager,5,0,1,0,17,8,6,3,Divorsed,21725
5110019,0,33,Rarely,Analytics,,CA,Male,60,3,4,Executive,2,0,0,0,18,15,4,10,Divorsed,17781
5110020,1,,Rarely,Marketing,21,CA,Female,69,3,5,Executive,4,1,0,1,16,6,1,4,M,17148
5110021,1,,Rarely,Analytics,23,Statistics,Female,48,3,3,Executive,3,1,4,1,16,7,0,1,Divorsed,17132
5110022,0,47,Rarely,Analytics,3,CA,Female,65,3,2,Manager,1,0,5,0,18,20,0,4,Married,20070
5110023,0,,Rarely,Analytics,5,CA,Female,61,5,3,Executive,1,0,2,1,17,2,1,1,M,17129
