Cust_ID,Target,Age,Gender,Balance,Occupation,No_OF_CR_TXNS,SCR,Holding_Period
C1,0,30,M,160378.6,SAL,2,826,9
C10,1,41,M,84370.59,SELF-EMP,14,843,9
C100,0,49,F,60849.26,PROF,49,328,26
C1000,0,49,M,10558.81,SAL,23,619,19
C10000,0,43,M,97100.48,SENP,3,397,8
C10001,0,30,M,160378.6,SAL,2,781,11
C10002,0,43,M,26275.55,PROF,23,354,12
C10003,0,53,M,33616.47,SAL,45,239,5
C10004,0,45,M,1881.37,PROF,3,339,13
C10005,0,37,M,3274.37,PROF,33,535,9
C10006,0,41,M,197632.53,SAL,6,204,30
C10007,1,46,M,36022.2,SELF-EMP,39,672,17
C10008,1,33,M,81362.58,SELF-EMP,47,726,7
C10009,1,43,M,70759.97,SELF-EMP,5,339,1
C1001,0,53,M,134466.62,PROF,43,419,8
C10010,1,41,M,84370.59,SELF-EMP,47,997,9
C10011,0,36,M,45064.42,PROF,14,574,31
C10012,0,36,M,57802.68,PROF,37,651,21
C10013,0,27,M,63177.16,PROF,8,603,14
C10014,0,41,O,109546.61,SAL,38,548,14
C10015,0,41,O,51670.56,SAL,32,458,21
C10016,0,47,O,51758.24,SAL,29,874,26
C10017,0,36,O,114633.4,PROF,30,453,24
C10018,0,37,O,68043.14,PROF,37,940,16
C10019,1,35,O,14364.24,SAL,21,521,20
C1002,0,44,M,14055.24,PROF,37,281,23
C10020,0,55,O,229658.69,SAL,12,861,28
C10021,0,36,O,1875.01,PROF,39,882,28
C10022,0,30,O,6529.39,PROF,46,845,22
C10023,0,48,O,18112.13,PROF,44,413,16
C10024,0,35,O,3175.59,SAL,27,796,9
C10025,1,52,O,3080.09,SELF-EMP,8,644,8
C10026,0,27,O,26931.08,SELF-EMP,24,970,16
C10027,0,43,O,10794.88,PROF,23,334,27
C10028,1,50,O,887.52,PROF,24,754,21
C10029,1,42,O,3720.71,SAL,45,936,27
C1003,0,34,M,12365.65,SAL,21,867,4
C10030,0,45,O,96998.38,PROF,11,631,5
C10031,0,35,O,6068.68,SELF-EMP,36,433,2
C10032,0,43,O,17797.41,PROF,7,956,17
C10033,1,53,O,18444.45,SELF-EMP,26,532,1
C10034,0,53,O,44880.16,SAL,35,690,22
C10035,0,42,O,32834.81,SAL,36,134,3
C10036,1,30,O,148096.36,PROF,33,682,21
C10037,1,39,O,81890.14,SAL,26,704,14
C10038,1,36,O,99252.2,SAL,46,747,1
C10039,0,31,F,38338.05,SELF-EMP,9,741,30
C1004,0,33,M,10918.16,PROF,50,139,7
C10040,1,39,F,133050.07,SAL,17,862,1
C10041,1,52,F,120482.34,SAL,8,106,12
C10042,0,43,F,569.22,PROF,45,586,5
C10043,1,35,F,44007.7,PROF,25,588,9
C10044,1,46,F,16028.87,PROF,47,167,21
C10045,0,55,F,7200.64,SAL,36,556,31
C10046,0,38,F,905.8,SAL,41,570,24
C10047,1,43,F,5456.31,SELF-EMP,26,997,11
C10048,1,45,F,7484.27,SELF-EMP,11,720,2
C10049,1,44,O,2771.93,SELF-EMP,49,422,4
C1005,0,45,M,88173.76,PROF,49,945,5
C10050,1,31,O,6829.03,PROF,25,384,18
C10051,1,54,O,2427.7,SAL,11,318,21
C10052,1,53,O,22135.11,PROF,3,669,27
C10053,1,51,O,7006.12,SAL,5,344,15
C10054,0,47,O,9760.97,SAL,6,885,23
