age,workclass,education,marrital status,occupation,sex,capital gain,capital loss,working hours per week,salary
39,State-gov,Bachelors,Never-married,Adm-clerical,Male,2174,0,40, <=50K
50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,0,0,13, <=50K
38,Private,HS-grad,Divorced,Handlers-cleaners,Male,0,0,40, <=50K
53,Private,11th,Married-civ-spouse,Handlers-cleaners,Male,0,0,40, <=50K
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Female,0,0,40, <=50K
37,Private,Masters,Married-civ-spouse,Exec-managerial,Female,0,0,40, <=50K
49,Private,9th,Married-spouse-absent,Other-service,Female,0,0,16, <=50K
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Male,0,0,45, >50K
31,Private,Masters,Never-married,Prof-specialty,Female,14084,0,50, >50K
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,5178,0,40, >50K
37,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,0,0,80, >50K
30,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Male,0,0,40, >50K
23,Private,Bachelors,Never-married,Adm-clerical,Female,0,0,30, <=50K
32,Private,Assoc-acdm,Never-married,Sales,Male,0,0,50, <=50K
40,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Male,0,0,40, >50K
34,Private,7th-8th,Married-civ-spouse,Transport-moving,Male,0,0,45, <=50K
25,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Male,0,0,35, <=50K
32,Private,HS-grad,Never-married,Machine-op-inspct,Male,0,0,40, <=50K
38,Private,11th,Married-civ-spouse,Sales,Male,0,0,50, <=50K
43,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Female,0,0,45, >50K
40,Private,Doctorate,Married-civ-spouse,Prof-specialty,Male,0,0,60, >50K
54,Private,HS-grad,Separated,Other-service,Female,0,0,20, <=50K
35,Federal-gov,9th,Married-civ-spouse,Farming-fishing,Male,0,0,40, <=50K
43,Private,11th,Married-civ-spouse,Transport-moving,Male,0,2042,40, <=50K
59,Private,HS-grad,Divorced,Tech-support,Female,0,0,40, <=50K
56,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Male,0,0,40, >50K
19,Private,HS-grad,Never-married,Craft-repair,Male,0,0,40, <=50K
54,?,Some-college,Married-civ-spouse,?,Male,0,0,60, >50K
39,Private,HS-grad,Divorced,Exec-managerial,Male,0,0,80, <=50K
49,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,0,0,40, <=50K
23,Local-gov,Assoc-acdm,Never-married,Protective-serv,Male,0,0,52, <=50K
20,Private,Some-college,Never-married,Sales,Male,0,0,44, <=50K
45,Private,Bachelors,Divorced,Exec-managerial,Male,0,1408,40, <=50K
30,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Male,0,0,40, <=50K
22,State-gov,Some-college,Married-civ-spouse,Other-service,Male,0,0,15, <=50K
48,Private,11th,Never-married,Machine-op-inspct,Male,0,0,40, <=50K
21,Private,Some-college,Never-married,Machine-op-inspct,Male,0,0,40, <=50K
19,Private,HS-grad,Married-AF-spouse,Adm-clerical,Female,0,0,25, <=50K
31,Private,Some-college,Married-civ-spouse,Sales,Male,0,0,38, >50K
48,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Male,0,0,40, <=50K
31,Private,9th,Married-civ-spouse,Machine-op-inspct,Male,0,0,43, <=50K
53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Male,0,0,40, <=50K
24,Private,Bachelors,Married-civ-spouse,Tech-support,Male,0,0,50, <=50K
49,Private,HS-grad,Separated,Adm-clerical,Female,0,0,40, <=50K
25,Private,HS-grad,Never-married,Handlers-cleaners,Male,0,0,35, <=50K
57,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Male,0,0,40, >50K
53,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,0,0,38, <=50K
44,Private,Masters,Divorced,Exec-managerial,Female,0,0,40, <=50K
41,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Male,0,0,40, <=50K
29,Private,Assoc-voc,Never-married,Prof-specialty,Male,0,0,43, <=50K
25,Private,Some-college,Married-civ-spouse,Exec-managerial,Female,0,0,40, <=50K
18,Private,HS-grad,Never-married,Other-service,Female,0,0,30, <=50K
47,Private,Prof-school,Married-civ-spouse,Prof-specialty,Female,0,1902,60, >50K
50,Federal-gov,Bachelors,Divorced,Exec-managerial,Male,0,0,55, >50K
47,Self-emp-inc,HS-grad,Divorced,Exec-managerial,Male,0,0,60, <=50K
43,Private,Some-college,Married-civ-spouse,Tech-support,Male,0,0,40, >50K
46,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Male,0,0,40, <=50K
35,Private,Assoc-voc,Married-civ-spouse,Other-service,Male,0,0,40, <=50K
41,Private,HS-grad,Married-civ-spouse,Adm-clerical,Male,0,0,48, <=50K
30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,5013,0,40, <=50K
30,Private,Bachelors,Married-civ-spouse,Sales,Male,2407,0,40, <=50K
32,?,7th-8th,Married-spouse-absent,?,Male,0,0,40, <=50K
48,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,0,0,40, <=50K
42,Private,Doctorate,Married-civ-spouse,Prof-specialty,Male,0,0,45, >50K
29,Private,Some-college,Divorced,Tech-support,Male,0,0,58, <=50K
36,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,0,0,40, <=50K
28,Private,Some-college,Divorced,Adm-clerical,Female,0,0,40, <=50K
53,Private,HS-grad,Married-civ-spouse,Adm-clerical,Female,0,0,40, >50K
49,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Male,0,0,50, >50K
25,?,Some-college,Never-married,?,Male,0,0,40, <=50K
19,Private,Some-college,Never-married,Prof-specialty,Male,0,0,32, <=50K
31,Private,Bachelors,Separated,Sales,Female,0,0,40, <=50K
29,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Male,0,0,70, >50K
23,Private,Some-college,Never-married,Machine-op-inspct,Male,0,0,40, <=50K
79,Private,Some-college,Married-civ-spouse,Prof-specialty,Male,0,0,20, <=50K
27,Private,HS-grad,Never-married,Other-service,Male,0,0,40, <=50K
40,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Male,0,0,40, <=50K
67,?,10th,Married-civ-spouse,?,Male,0,0,2, <=50K
18,Private,11th,Never-married,Other-service,Female,0,0,22, <=50K
31,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,Male,0,0,40, <=50K
18,Private,HS-grad,Never-married,Sales,Male,0,0,30, <=50K
52,Private,Bachelors,Married-civ-spouse,Other-service,Male,0,0,40, <=50K
46,Private,HS-grad,Married-civ-spouse,Other-service,Female,0,0,40, <=50K
59,Private,HS-grad,Married-civ-spouse,Sales,Male,0,0,48, <=50K
44,Private,HS-grad,Divorced,Craft-repair,Female,14344,0,40, >50K
53,Private,HS-grad,Divorced,Sales,Female,0,0,35, <=50K
49,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Male,0,0,40, >50K
33,Private,Masters,Married-civ-spouse,Prof-specialty,Male,0,0,50, <=50K
30,Private,9th,Never-married,Sales,Male,0,0,40, <=50K
43,Federal-gov,Doctorate,Never-married,Prof-specialty,Female,0,0,50, >50K
57,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Male,0,0,40, <=50K
37,Private,Some-college,Divorced,Craft-repair,Female,0,0,40, <=50K
28,Private,Some-college,Divorced,Machine-op-inspct,Female,0,0,25, <=50K
30,Private,HS-grad,Married-civ-spouse,Sales,Female,0,1573,35, <=50K
34,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Male,0,0,40, >50K
29,Local-gov,Some-college,Never-married,Handlers-cleaners,Male,0,0,50, <=50K
48,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Male,0,1902,60, >50K
37,Private,Some-college,Married-civ-spouse,Sales,Male,0,0,48, >50K
48,Private,Assoc-acdm,Divorced,Exec-managerial,Female,0,0,40, <=50K
32,Federal-gov,HS-grad,Never-married,Other-service,Male,0,0,40, <=50K
76,Private,Masters,Married-civ-spouse,Exec-managerial,Male,0,0,40, >50K
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,15024,0,60, >50K
47,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Female,0,0,50, <=50K
20,Private,Some-college,Never-married,Tech-support,Female,0,0,40, <=50K
29,Private,HS-grad,Never-married,Craft-repair,Male,0,0,40, <=50K
32,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Male,7688,0,40, >50K
17,?,10th,Never-married,?,Female,34095,0,32, <=50K
30,Private,11th,Never-married,Handlers-cleaners,Male,0,0,40, <=50K
31,Local-gov,HS-grad,Never-married,Adm-clerical,Female,0,0,40, <=50K
42,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Male,0,0,40, <=50K
24,Private,Bachelors,Never-married,Sales,Male,0,0,40, <=50K
38,Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,0,0,40, >50K
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Male,0,1887,50, >50K
28,Private,Some-college,Married-civ-spouse,Sales,Female,4064,0,25, <=50K
36,Private,HS-grad,Never-married,Machine-op-inspct,Female,0,0,40, <=50K
53,Private,9th,Married-civ-spouse,Handlers-cleaners,Male,0,0,50, <=50K
56,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Male,0,0,50, <=50K
49,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Male,0,0,40, >50K
55,Private,Some-college,Married-civ-spouse,Sales,Male,0,0,56, <=50K
22,Private,HS-grad,Never-married,Craft-repair,Male,0,0,41, <=50K
21,Private,Some-college,Never-married,Other-service,Female,0,0,40, <=50K
40,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,0,0,60, <=50K
30,Private,Bachelors,Never-married,Exec-managerial,Male,0,0,40, <=50K
29,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Male,0,0,50, >50K
19,Private,Some-college,Never-married,Other-service,Male,0,0,35, <=50K
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Female,0,0,40, >50K
20,Private,Some-college,Never-married,Adm-clerical,Female,0,1719,28, <=50K
31,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Male,0,0,40, >50K
35,?,HS-grad,Married-civ-spouse,?,Male,0,0,40, <=50K
39,Private,Some-college,Divorced,Craft-repair,Male,0,0,40, <=50K
28,Private,Assoc-acdm,Never-married,Sales,Female,0,0,60, <=50K
24,Private,HS-grad,Never-married,Other-service,Female,0,1762,40, <=50K
38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Male,4386,0,35, <=50K
37,Private,Bachelors,Married-civ-spouse,Sales,Male,0,0,50, <=50K
46,Private,Assoc-acdm,Divorced,Tech-support,Female,0,0,36, <=50K
38,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Male,0,0,40, >50K
43,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Male,0,0,60, <=50K
27,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Female,0,0,35, <=50K
20,Private,Some-college,Never-married,Sales,Male,0,0,20, <=50K
49,Private,Some-college,Married-civ-spouse,Craft-repair,Male,0,0,40, >50K
