,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS
Date,,,,,,,,,,,,,,,,,,
2010-01-04,85.53778839111328,52.44706726074219,,103.13999938964844,56.79999923706055,,103.5999984741211,57.099998474121094,,101.11000061035156,53.099998474121094,,101.11000061035156,56.54999923706055,,1164010,101270,
2010-01-05,88.00920867919922,52.49323272705078,,106.12000274658203,56.849998474121094,,106.97000122070312,58.29999923706055,,103.19999694824219,56.29999923706055,,106.97000122070312,57.45000076293945,,3023360,159029,
2010-01-06,88.54827117919922,52.1700553894043,,106.7699966430664,56.5,,108.97000122070312,57.5,,104.43000030517578,56.150001525878906,,108.97000122070312,57.5,,4283385,70466,
2010-01-07,89.07905578613281,52.63174057006836,,107.41000366210938,57.0,,108.0,57.5,,103.11000061035156,56.5,,103.11000061035156,56.900001525878906,,1979305,90726,
2010-01-08,89.43565368652344,57.01771926879883,,107.83999633789062,61.75,,108.56999969482422,64.69999694824219,,107.0,58.099998474121094,,107.0,59.0,,2956345,1423961,
2010-01-11,90.62161254882812,61.357521057128906,,109.2699966430664,66.44999694824219,,111.19999694824219,68.0,,105.11000061035156,62.20000076293945,,105.11000061035156,62.29999923706055,,4182325,1208170,
2010-01-12,89.65128326416016,61.58836364746094,,108.0999984741211,66.69999694824219,,110.5999984741211,68.69999694824219,,107.4800033569336,64.5,,109.11000061035156,67.0,,4702580,455922,
2010-01-13,89.22832489013672,62.28089141845703,,107.58999633789062,67.44999694824219,,108.63999938964844,67.80000305175781,,105.11000061035156,65.05000305175781,,105.11000061035156,66.0,,2713480,302157,
2010-01-14,90.26499938964844,63.388919830322266,,108.83999633789062,68.6500015258789,,109.94000244140625,71.3499984741211,,105.11000061035156,67.5,,105.11000061035156,67.5,,2925695,1283067,
2010-01-15,89.4107894897461,60.38799285888672,,107.80999755859375,65.4000015258789,,109.04000091552734,69.19999694824219,,107.0,58.900001525878906,,109.04000091552734,68.80000305175781,,2286150,427227,
2010-01-18,90.79578399658203,58.864437103271484,,109.4800033569336,63.75,,112.0,65.5,,105.11000061035156,63.5,,105.11000061035156,65.5,,2782010,131902,
2010-01-19,92.05638122558594,58.587432861328125,,111.0,63.45000076293945,,112.19999694824219,65.44999694824219,,109.77999877929688,63.099998474121094,,109.77999877929688,64.44999694824219,,1950160,119698,
2010-01-20,93.30868530273438,57.80257034301758,,112.51000213623047,62.599998474121094,,113.55999755859375,64.44999694824219,,110.23999786376953,62.20000076293945,,110.23999786376953,64.0,,3096525,71894,
2010-01-21,91.24362182617188,57.34089279174805,,110.0199966430664,62.099998474121094,,113.0,65.69999694824219,,109.2300033569336,61.25,,112.0,61.5,,2283205,276084,
2010-01-22,90.77920532226562,55.77117156982422,,109.45999908447266,60.400001525878906,,110.62000274658203,61.45000076293945,,105.11000061035156,58.0,,105.11000061035156,61.0,,3061425,155906,
2010-01-25,88.49021911621094,56.78687286376953,,106.69999694824219,61.5,,109.7699966430664,62.29999923706055,,105.52999877929688,59.0,,108.0,60.5,,3067355,81358,
2010-01-27,86.59104919433594,54.01678466796875,,104.41000366210938,58.5,,108.0,61.5,,101.8499984741211,57.0,,103.06999969482422,61.0,,9187260,116731,
2010-01-28,92.28857421875,52.1700553894043,,111.27999877929688,56.5,,111.87999725341797,60.0,,101.11000061035156,56.0,,101.11000061035156,59.5,,12110660,71324,
2010-01-29,95.45664978027344,52.81641387939453,,115.0999984741211,57.20000076293945,,117.9800033569336,57.900001525878906,,107.80000305175781,54.04999923706055,,107.80000305175781,56.5,,11391250,66757,
2010-02-01,97.84514617919922,53.2319221496582,,117.9800033569336,57.650001525878906,,119.36000061035156,58.29999923706055,,114.18000030517578,56.29999923706055,,115.19999694824219,57.0,,5643110,212693,
2010-02-02,94.44485473632812,52.44706726074219,,113.87999725341797,56.79999923706055,,118.94000244140625,60.25,,113.25,56.54999923706055,,117.06999969482422,58.650001525878906,,5291675,110815,
2010-02-03,96.23623657226562,52.862579345703125,,116.04000091552734,57.25,,117.77999877929688,57.79999923706055,,107.54000091552734,57.04999923706055,,107.54000091552734,57.70000076293945,,4736510,30173,
2010-02-04,94.5112075805664,51.52369689941406,,113.95999908447266,55.79999923706055,,116.58000183105469,57.5,,111.2300033569336,55.349998474121094,,111.2300033569336,57.0,,2912475,50694,
2010-02-05,92.8525390625,50.09248733520508,,111.95999908447266,54.25,,114.36000061035156,55.0,,109.02999877929688,52.150001525878906,,109.02999877929688,55.0,,5335860,75331,
2010-02-08,95.04197692871094,49.676971435546875,,114.5999984741211,53.79999923706055,,116.4000015258789,55.29999923706055,,112.12000274658203,53.5,,112.12000274658203,54.75,,3038890,41049,
2010-02-09,94.22093963623047,50.32332992553711,,113.61000061035156,54.5,,115.30000305175781,55.29999923706055,,112.18000030517578,53.04999923706055,,112.18000030517578,53.04999923706055,,2818430,69602,
2010-02-10,92.4378662109375,52.72407150268555,,111.45999908447266,57.099998474121094,,114.91999816894531,58.75,,111.0,55.0,,113.61000061035156,55.0,,3722375,279591,
2010-02-11,92.52909851074219,53.093421936035156,,111.56999969482422,57.5,,113.33000183105469,58.650001525878906,,109.77999877929688,57.20000076293945,,109.77999877929688,57.5,,3414560,74878,
2010-02-15,91.93197631835938,52.07772445678711,,110.8499984741211,56.400001525878906,,112.68000030517578,58.400001525878906,,110.16000366210938,55.75,,112.0,58.20000076293945,,1395795,20195,
2010-02-16,94.66879272460938,50.96968078613281,,114.1500015258789,55.20000076293945,,114.80000305175781,56.5,,110.69999694824219,54.45000076293945,,112.55999755859375,56.5,,2082105,26840,
2010-02-17,95.70545959472656,50.92350769042969,,115.4000015258789,55.150001525878906,,116.16000366210938,56.0,,114.43000030517578,54.75,,115.0,55.099998474121094,,2497590,42877,
2010-02-18,97.71245574951172,51.200523376464844,,117.81999969482422,55.45000076293945,,118.4000015258789,56.25,,114.9800033569336,54.5,,115.97000122070312,55.25,,3695815,38048,
2010-02-19,94.56097412109375,50.04631805419922,,114.0199966430664,54.20000076293945,,121.36000061035156,57.349998474121094,,113.1500015258789,53.45000076293945,,116.16000366210938,56.099998474121094,,11328755,173036,
2010-02-22,93.81456756591797,49.953975677490234,,113.12000274658203,54.099998474121094,,118.16000366210938,55.599998474121094,,112.44999694824219,53.79999923706055,,115.0,55.099998474121094,,3684270,76577,
2010-02-23,95.16638946533203,49.39996337890625,,114.75,53.5,,116.0,54.25,,112.31999969482422,51.25,,113.66000366210938,51.25,,3405910,31111,
2010-02-24,93.85603332519531,49.21529006958008,,113.16999816894531,53.29999923706055,,115.52999877929688,53.70000076293945,,112.41999816894531,52.599998474121094,,114.19999694824219,53.0,,5377655,34487,
2010-02-25,94.69365692138672,49.076786041259766,,114.18000030517578,53.150001525878906,,115.36000061035156,54.0,,113.16999816894531,52.79999923706055,,113.4000015258789,54.0,,5571405,31145,
2010-02-26,96.7918701171875,49.076786041259766,,116.70999908447266,53.150001525878906,,118.55000305175781,54.849998474121094,,113.66000366210938,53.0,,114.62000274658203,53.20000076293945,,3768920,63437,
2010-03-02,101.26201629638672,50.64649963378906,,122.0999984741211,54.849998474121094,,123.77999877929688,55.70000076293945,,117.2300033569336,53.400001525878906,,117.9800033569336,54.20000076293945,,5343750,65550,
2010-03-03,100.16728210449219,51.01585388183594,,120.77999877929688,55.25,,126.69999694824219,55.5,,119.62000274658203,54.5,,121.5999984741211,54.54999923706055,,8396675,37488,
2010-03-04,101.0546875,51.01585388183594,,121.8499984741211,55.25,,124.77999877929688,55.849998474121094,,120.80000305175781,54.70000076293945,,122.95999908447266,55.0,,3512555,33722,
2010-03-05,98.64960479736328,51.2928581237793,,118.94999694824219,55.54999923706055,,123.80000305175781,56.650001525878906,,118.33000183105469,55.04999923706055,,122.0,55.150001525878906,,4487245,35439,
2010-03-08,99.677978515625,51.47752380371094,,120.19000244140625,55.75,,121.79000091552734,56.95000076293945,,119.30999755859375,55.599998474121094,,119.62000274658203,56.20000076293945,,4697335,42231,
2010-03-09,101.23712158203125,50.78499984741211,,122.06999969482422,55.0,,123.5999984741211,55.79999923706055,,118.05000305175781,54.099998474121094,,120.4000015258789,55.29999923706055,,5709445,35014,
2010-03-10,101.23712158203125,52.40089797973633,,122.06999969482422,56.75,,122.5999984741211,57.29999923706055,,120.44000244140625,54.79999923706055,,122.0,56.150001525878906,,3488535,138854,
2010-03-11,103.03679656982422,52.354732513427734,,124.23999786376953,56.70000076293945,,125.0,57.599998474121094,,121.19999694824219,55.5,,121.9000015258789,56.900001525878906,,4406570,69509,
2010-03-12,102.64700317382812,51.15434646606445,,123.7699966430664,55.400001525878906,,124.94000244140625,57.25,,122.63999938964844,55.20000076293945,,123.79000091552734,57.25,,1959860,32898,
2010-03-15,101.53569030761719,50.69268035888672,,122.43000030517578,54.900001525878906,,123.7699966430664,55.5,,121.72000122070312,54.70000076293945,,121.72000122070312,55.400001525878906,,1876990,13169,
2010-03-16,100.61511993408203,50.877342224121094,,121.31999969482422,55.099998474121094,,122.80000305175781,55.599998474121094,,120.08000183105469,54.5,,120.72000122070312,55.599998474121094,,2356605,26406,
2010-03-17,101.19566345214844,50.92350769042969,,122.0199966430664,55.150001525878906,,123.5999984741211,56.0,,121.05000305175781,55.04999923706055,,121.63999938964844,55.849998474121094,,2795585,48563,
2010-03-18,101.89230346679688,50.46183395385742,,122.86000061035156,54.650001525878906,,123.62999725341797,55.29999923706055,,121.69999694824219,54.29999923706055,,122.0199966430664,54.29999923706055,,3470680,45862,
2010-03-19,102.04988098144531,50.36949920654297,,123.05000305175781,54.54999923706055,,123.4000015258789,55.349998474121094,,122.0199966430664,54.25,,122.0199966430664,54.29999923706055,,1458245,33362,
2010-03-22,103.65050506591797,49.90781021118164,,124.9800033569336,54.04999923706055,,125.97000122070312,54.849998474121094,,120.25,53.79999923706055,,120.25,54.0,,3393300,30370,
2010-03-23,103.6173324584961,50.23099136352539,,124.94000244140625,54.400001525878906,,127.12000274658203,54.900001525878906,,123.6500015258789,53.349998474121094,,126.0,54.400001525878906,,5400450,38766,
2010-03-25,103.93247985839844,49.39996337890625,,125.31999969482422,53.5,,126.73999786376953,54.349998474121094,,123.4000015258789,53.29999923706055,,124.0,53.650001525878906,,4346185,62009,
